Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist
My Time After Awhile,Robert Geddins/Ron Badger/Sheldon Feinberg,182491,6022698,0.99,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
Be Quick Or Be Dead,Bruce Dickinson/Janick Gers,204512,8181888,0.99,Rock,Fear Of The Dark,Iron Maiden
Água E Fogo,Chico Amaral/Edgard Scandurra/Samuel Rosa,278987,9272272,0.99,Rock,Maquinarama,Skank
Ozone Baby,"Jimmy Page, Robert Plant",215954,7079588,0.99,Rock,Coda,Led Zeppelin
Bop Boogie,,189596,6093124,0.99,Jazz,Up An' Atom,Gene Krupa
"Danny Boy, Danny Boy",E. Schrody/L. Muggerud,114520,4583091,0.99,Hip Hop/Rap,House of Pain,House Of Pain
Bitter Pill,Mick Mars/Nikki Sixx/Tommy Lee/Vince Neil,266814,8666786,0.99,Metal,Motley Crue Greatest Hits,Mötley Crüe
I Need Love,Bolin/Coverdale,263836,8701064,0.99,Rock,Come Taste The Band,Deep Purple
A Bencao E Outros,,421093,14234427,0.99,Latin,Vinicius De Moraes,Vinícius De Moraes
Substitute,Pete Townshend,228022,7409995,0.99,Rock,My Generation - The Very Best Of The Who,The Who
"If I Like It, I Do It","Gelder, Nick van",293093,9848207,0.99,Rock,Emergency On Planet Earth,Jamiroquai
War (The Process),Billy Duffy/Ian Astbury,252630,8254842,0.99,Rock,Beyond Good And Evil,The Cult
Menestrel Das Alagoas,"Milton Nascimento, Fernando Brant",199758,6542289,0.99,Latin,Milton Nascimento Ao Vivo,Milton Nascimento
She Loves Me Not,Bill Gould/Mike Bordin/Mike Patton,209867,6887544,0.99,Alternative & Punk,Album Of The Year,Faith No More
Tired Of You,Foo Fighters,311353,10094743,0.99,Alternative & Punk,One By One,Foo Fighters
Your Time Has Come,"Cornell, Commerford, Morello, Wilk",255529,8273592,0.99,Alternative & Punk,Out Of Exile,Audioslave
Collision,,2605480,526182322,1.99,Drama,"Heroes, Season 1",Heroes
Mercyful Fate,Diamond/Shermann,671712,21942829,0.99,Metal,Garage Inc. (Disc 1),Metallica
Rock & Roll,John Bonham/John Paul Jones/Robert Plant,242442,7897065,0.99,Rock,The Song Remains The Same (Disc 1),Led Zeppelin
"Love, Hate, Love","Jerry Cantrell, Layne Staley",387134,12575396,0.99,Rock,Facelift,Alice In Chains
Don't Look To The Eyes Of A Stranger,Steve Harris,483657,19347584,0.99,Rock,Virtual XI,Iron Maiden
Sparks Will Fly,Jagger/Richards,196466,6492847,0.99,Rock,Voodoo Lounge,The Rolling Stones
New Year's Day,U2,258925,8491818,0.99,Rock,The Best Of 1980-1990,U2
Janie's Got A Gun,"Steven Tyler, Tom Hamilton",330736,10869391,0.99,Rock,Big Ones,Aerosmith
Morro Da Casa Verde 2001,,284708,9718778,0.99,Soundtrack,Carnaval 2001,Various Artists
Fool For Your Loving,Marsden/Moody,250801,8129820,0.99,Metal,Greatest Hits,Lenny Kravitz
Lil' Evil,,165825,5419655,0.99,Rock,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult
No Clima,Mônica Marianno,249495,8362040,0.99,World,Demorou...,Mônica Marianno
Hit The Lights,"James Hetfield, Lars Ulrich",257541,8357088,0.99,Metal,Kill 'Em All,Metallica
Primavera,KC Porter & JB Eckl,378618,12504234,0.99,Rock,Supernatural,Santana
Set The Ray To Jerry,Billy Corgan,249364,8215184,0.99,Alternative & Punk,Judas 0: B-Sides and Rarities,Smashing Pumpkins
Jamie's Cryin',"Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",210546,6946086,0.99,Rock,Van Halen,Van Halen
They Can't Take That Away From Me,george gershwin/ira gershwin,161227,5240043,0.99,Easy Listening,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra
Company Man,,2601226,493168135,1.99,Drama,"Heroes, Season 1",Heroes
Waiting On A Sign,The Tea Party,261903,8558590,0.99,Alternative & Punk,Tangents,The Tea Party
You Shook Me,J B Lenoir/Willie Dixon,315951,10249958,0.99,Rock,BBC Sessions [Disc 1] [Live],Led Zeppelin
The Seeker,Pete Townshend,204643,6736866,0.99,Rock,My Generation - The Very Best Of The Who,The Who
Running Free,,474017,11380851,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden
Half The Man,Toby Smith,289854,9577679,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai
St. Jimmy,Green Day,175307,5716589,0.99,Alternative & Punk,American Idiot,Green Day
Hots On For Nowhere,Jimmy Page/Robert Plant,284107,9342342,0.99,Rock,Presence,Led Zeppelin
Fast And Loose,Clarke/Kilmister/Taylor,203337,6643350,0.99,Metal,Ace Of Spades,Motörhead
Lonely Stranger,Eric Clapton,328724,10894406,0.99,Blues,Unplugged,Eric Clapton
Badge,Clapton/Harrison,163552,5322942,0.99,Blues,The Cream Of Clapton,Eric Clapton
A Tale of Two Cities,,2636970,513691652,1.99,TV Shows,"Lost, Season 3",Lost
Leave Us Leap,,182726,5898810,0.99,Jazz,Up An' Atom,Gene Krupa
Agora Que O Dia Acordou,,323213,10572752,0.99,Latin,The Best of Ed Motta,Ed Motta
É Preciso Saber Viver,Erasmo Carlos/Roberto Carlos,251115,8271418,0.99,Alternative & Punk,Volume Dois,Titãs
Infeliz Natal,Rodolfo,138266,4503299,0.99,Alternative & Punk,Cesta Básica,Raimundos
Take It Or Leave It,C. Muncey/N. Cester,142889,4643370,0.99,Alternative & Punk,Get Born,JET
The Greater Good,,2617784,214130273,1.99,TV Shows,"Lost, Season 1",Lost
Preciso Aprender A Ser Só,,162220,5213894,0.99,Latin,Serie Sem Limite (Disc 2),Tim Maia
Mun-Ra,,274651,10988338,0.99,Electronica/Dance,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa
"Concerto for Violin, Strings and Continuo in G Major, Op. 3, No. 9: I. Allegro",Pietro Antonio Locatelli,493573,16454937,0.99,Classical,"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3","Mela Tenenbaum, Pro Musica Prague & Richard Kapp"
Ballot or the Bullet,Van Halen,342282,11212955,0.99,Rock,Van Halen III,Van Halen
Two Hearts Beat As One,U2,243487,7998323,0.99,Rock,War,U2
A Estrada,Da Gama/Lazao/Toni Garrido,282174,9344477,0.99,Reggae,Cidade Negra - Hits,Cidade Negra
Machine Men,Adrian Smith,341655,11138147,0.99,Metal,Chemical Wedding,Bruce Dickinson
